"chr","pos","strand","Name","Probe_rs","Probe_maf","CpG_rs","CpG_maf","SBE_rs","SBE_maf","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Phantom","DMR","Enhancer","HMM_Island","Regulatory_Feature_Name","Regulatory_Feature_Group","DHS","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"cg22091609","chr22",20780508,"-","cg22091609",NA,NA,NA,NA,NA,NA,"chr22:20779386-20780560","Island","SCARF2;SCARF2","NM_182895;NM_153334","Body;Body","","","","22:19109258-19110560","22:20779303-20780766","Unclassified_Cell_type_specific","",-1.10144091818373,-1.10908846400097,-5.23590078828253,4.4111510463809e-06,0.00396072547990821,4.09035920799193
"cg08119325","chr3",195613212,"-","cg08119325",NA,NA,NA,NA,NA,NA,"chr3:195613588-195613966","N_Shore","TNK2;TNK2","NM_001010938;NM_005781","Body;Body","","","TRUE","","","","TRUE",-0.523920176038378,1.22548690697004,-5.23571795819379,4.41383883429539e-06,0.00396072547990821,4.08980866615023
"cg22908581","chr12",6898975,"+","cg22908581",NA,NA,NA,NA,NA,NA,"","OpenSea","CD4","NM_000616","5'UTR","","","","","","","",0.73797188147941,0.119879802579062,5.23353552886372,4.44604824085334e-06,0.00397960415970553,4.0832371340628
"cg22814740","chr1",78442554,"-","cg22814740",NA,NA,NA,NA,NA,NA,"chr1:78444303-78444605","N_Shore","FUBP1","NM_003902","Body","","","","","","","",-0.494964389638254,-0.157728606420432,-5.23213280830313,4.46687305368223e-06,0.00398822353636347,4.07901362939051
"cg15247245","chr3",96168838,"-","cg15247245",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","TRUE","","","","",0.714728958680201,0.161803360679473,5.23097167945801,4.48418422815556e-06,0.00398900175056945,4.07551768449236
"cg26631039","chr2",121625022,"+","cg26631039",NA,NA,NA,NA,NA,NA,"chr2:121624827-121625209","Island","GLI2","NM_005270","Body","","","","2:121341380-121341751","","","TRUE",2.25764635590584,-2.38347618536654,5.22962908706187,4.50428364791532e-06,0.00398900175056945,4.07147554703214
"cg12876594","chr9",35791798,"+","cg12876594",NA,NA,NA,NA,NA,NA,"chr9:35791584-35791924","Island","NPR2","NM_003995","TSS1500","","","","9:35780836-35781983","9:35791780-35791965","Unclassified_Cell_type_specific","",-1.31561699635139,-0.405637901624377,-5.22940973554828,4.50757593897792e-06,0.00398900175056945,4.07081516272707
"cg06638023","chr19",59030102,"+","cg06638023",NA,NA,NA,NA,NA,NA,"chr19:59030657-59031426","N_Shore","ZBTB45","NM_032792","5'UTR","","RDMR","","","","","",-0.725972550249378,-0.453676406247613,-5.2290796941913,4.51253408603486e-06,0.00398900175056945,4.0698215419279
"cg19957764","chr14",90509982,"+","cg19957764","rs35090050",0.021474,NA,NA,NA,NA,"","OpenSea","TDP1;TDP1","NM_001008744;NM_018319","3'UTR;3'UTR","","","","","","","",-1.39804128060537,3.19397298235297,-5.22489549147611,4.57586266828631e-06,0.00403497078283084,4.05722551004674
"cg06191495","chr2",234264163,"-","cg06191495",NA,NA,NA,NA,NA,NA,"","OpenSea","DGKD","NM_152879","Body","","","","2:233927686-233928959","","","TRUE",-0.653714877192254,-1.01373392401313,-5.22389670362156,4.59110909998784e-06,0.00403841891685227,4.05421903029422
"cg01433297","chr20",4151816,"-","cg01433297",NA,NA,NA,NA,NA,NA,"chr20:4152866-4153398","N_Shore","SMOX;SMOX;SMOX;SMOX","NM_175839;NM_175841;NM_175840;NM_175842","5'UTR;5'UTR;5'UTR;5'UTR","","","TRUE","","","","",1.03382557964481,2.40879314462519,5.22211900917079,4.61837000887545e-06,0.00405239217687644,4.04886818003831
"cg04176122","chr11",118779835,"+","cg04176122",NA,NA,NA,NA,NA,NA,"chr11:118781060-118781732","N_Shore","BCL9L","NM_182557","Body","","","TRUE","","11:118779779-118779943","Unclassified_Cell_type_specific","TRUE",0.571105063901649,1.0569756193103,5.2210483322535,4.63486607691068e-06,0.0040568743625775,4.04564559613762
"cg00091483","chr12",118574757,"+","cg00091483",NA,NA,NA,NA,NA,NA,"chr12:118573730-118574731","S_Shore","PEBP1","NM_002567","Body","","RDMR","","12:117058054-117059141","12:118573432-118575179","Promoter_Associated","",-0.642062379241234,-3.23174247166328,-5.22004543265077,4.65037079384689e-06,0.00406046897905389,4.04262711303826
"cg08121453","chr1",248855364,"+","cg08121453",NA,NA,NA,NA,NA,NA,"chr1:248855030-248855470","Island","","","","","","","1:246921654-246922226","","","",1.28483726241691,1.92336593203645,5.21586036797029,4.71562753193741e-06,0.00410738075822749,4.03003214502971
"cg11612905","chr2",234359654,"+","cg11612905",NA,NA,NA,NA,NA,NA,"","OpenSea","DGKD;DGKD","NM_152879;NM_003648","Body;Body","","","","2:234024385-234024523","2:234359572-234359710","Gene_Associated_Cell_type_specific","",-0.73549388957893,0.419710658353976,-5.21057306468201,4.79936864665474e-06,0.00417012459396955,4.01412243230568
"cg15182320","chr11",192096,"+","cg15182320",NA,NA,NA,NA,NA,NA,"","OpenSea","LOC653486;SCGB1C1","NM_001097610;NM_145651","TSS1500;TSS1500","","","TRUE","","11:191531-192949","Unclassified","",-1.16338572876529,-3.51402546395454,-5.207487711588,4.84891330665838e-06,0.00420292243535405,4.00483974731885
"cg09684846","chr16",10912718,"-","cg09684846",NA,NA,NA,NA,NA,NA,"chr16:10912159-10912719","Island","FAM18A","NM_001079512","TSS200","","","","16:10819716-10820260","","","",-1.87057901363144,2.66106638977694,-5.20535660527417,4.88342992038706e-06,0.00420898813373901,3.99842858634329
"cg15574642","chr17",48474021,"+","cg15574642","rs113289740",0.010979,NA,NA,NA,NA,"chr17:48474516-48475047","N_Shore","LRRC59","NM_018509","Body","","","","17:45828879-45829099","17:48473863-48475576","Unclassified","",-0.755063713686441,0.0519429888955839,-5.20492129799228,4.89051026020575e-06,0.00420898813373901,3.9971190753136
"cg16467811","chr4",139832064,"+","cg16467811",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","TRUE","","","","TRUE",0.67868678584957,0.279950618360865,5.20460772810202,4.89561681755212e-06,0.00420898813373901,3.99617579184212
"cg10274453","chr13",43378116,"+","cg10274453",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","TRUE","","","","",-1.20984551162896,0.878944631233508,-5.20414446746068,4.90317078275257e-06,0.00420898813373901,3.99478222529108
"cg00782811","chr6",46293734,"+","cg00782811",NA,NA,NA,NA,NA,NA,"","OpenSea","RCAN2","NM_005822","TSS1500","","","TRUE","","","","",-0.584152635994138,-1.24951012030975,-5.19957609334372,4.97828364314083e-06,0.00426319388569881,3.98104092396093
"cg11927233","chr5",170816542,"+","cg11927233",NA,NA,NA,NA,NA,NA,"chr5:170814447-170815655","S_Shore","NPM1;NPM1;NPM1","NM_002520;NM_199185;NM_001037738","Body;Body;Body","","","","","","","",-0.946022718737058,-1.14731477188058,-5.19855960032032,4.99515101807769e-06,0.00426738027442466,3.97798367777923
"cg00682002","chr7",128531479,"+","cg00682002",NA,NA,NA,NA,NA,NA,"chr7:128530629-128531356","S_Shore","KCP;KCP","NM_199349;NM_001135914","Body;Body","","","","7:128317890-128318925","7:128530745-128531767","Unclassified_Cell_type_specific","TRUE",-0.864143937313871,-1.10504766619902,-5.19608878117196,5.03638724331275e-06,0.00428806442666091,3.97055277160969
"cg04937851","chr2",237993660,"-","cg04937851",NA,NA,NA,NA,NA,NA,"chr2:237994004-237994876","N_Shore","COPS8;COPS8","NM_198189;NM_006710","TSS1500;TSS1500","","","","","2:237993660-237995483","Promoter_Associated","",-0.785912919413657,1.52145152233037,-5.19562303341616,5.04419789796506e-06,0.00428806442666091,3.96915211930749
"cg25887236","chr18",74844781,"+","cg25887236",NA,NA,NA,NA,NA,NA,"chr18:74843360-74845426","Island","MBP;MBP","NM_001025100;NM_001025101","TSS200;TSS200","high-CpG:72973604-72974168","","","18:72972014-72974414","18:74843693-74845302","Promoter_Associated","TRUE",-0.903330974154585,-3.25703436078211,-5.19459111990585,5.06154596173539e-06,0.00428806442666091,3.96604890328198
"cg22655561","chr5",176883211,"+","cg22655561",NA,NA,NA,NA,NA,NA,"chr5:176881221-176883117","S_Shore","PRR7","NM_030567","3'UTR","","","TRUE","5:176813797-176816216","5:176883190-176883775","Promoter_Associated","",-0.709910910249777,-2.77840463367563,-5.19423716591141,5.06751006645495e-06,0.00428806442666091,3.9649845017942
"cg06728103","chr12",93930699,"+","cg06728103",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","TRUE","","12:93930625-93930721","Unclassified_Cell_type_specific","",0.452532296583289,-1.48430226649415,5.18659441111517,5.19799992732066e-06,0.00438806038888234,3.94200448625036
"cg00163372","chr8",128752988,"+","cg00163372",NA,NA,NA,NA,NA,NA,"chr8:128747805-128751279","S_Shore","MYC","NM_002467","Body","","","","8:128822116-128822282","","","",-1.3176539576813,2.20022906306415,-5.18569385504378,5.21359305401022e-06,0.00439081904852452,3.9392971097933
"cg25731959","chr1",1171952,"-","cg25731959",NA,NA,NA,NA,NA,NA,"chr1:1173915-1174263","N_Shore","","","","","","","","1:1171738-1172055","Unclassified_Cell_type_specific","",-0.644230071801302,2.57498061845285,-5.18361553364958,5.24975608695375e-06,0.0044059167311994,3.93304928705875
"cg01956154","chr14",94423399,"-","cg01956154",NA,NA,NA,NA,NA,NA,"","OpenSea","ASB2;ASB2","NM_016150;NM_016150","5'UTR;1stExon","","","TRUE","","","","",0.464371270557019,-1.46469924867657,5.18287520554438,5.26269774759464e-06,0.0044059167311994,3.93082382870424
"cg05299048","chr3",52828583,"-","cg05299048",NA,NA,NA,NA,NA,NA,"","OpenSea","ITIH3","NM_002217","TSS200","","","","","","","",-0.429229856739622,1.78359269342635,-5.18253686403838,5.26862279468047e-06,0.0044059167311994,3.92980677810905
"cg26739800","chr16",84177597,"-","cg26739800","rs144809982",0.011,NA,NA,NA,NA,"chr16:84178000-84179223","N_Shore","HSDL1;LRRC50;HSDL1","NM_001146051;NM_178452;NM_031463","5'UTR;TSS1500;5'UTR","","","","","","","",-0.569899733840246,-1.0618277885225,-5.18168637572691,5.28354573961474e-06,0.00440804859955282,3.92725027188158
"cg18737081","chr10",80999807,"+","cg18737081",NA,NA,NA,NA,NA,NA,"chr10:81002109-81003687","N_Shelf","ZMIZ1","NM_020338","Body","","","TRUE","10:80669799-80669927","","","TRUE",2.18281444411486,2.09944840454985,5.17869051580339,5.33644599094251e-06,0.00444178084589559,3.91824552383483
"cg12378753","chr10",116527201,"-","cg12378753",NA,NA,NA,NA,NA,NA,"chr10:116527524-116528474","N_Shore","","","","","","","","10:116527156-116528445","Unclassified_Cell_type_specific","TRUE",-0.89627544938094,-1.76591293546527,-5.1756839811907,5.39006157435988e-06,0.00447594984978516,3.90920961698598
"cg19715410","chr1",29139021,"+","cg19715410","rs111622802",0.021098,NA,NA,NA,NA,"chr1:29138501-29139348","Island","OPRD1","NM_000911","1stExon","","DMR","TRUE","1:29011089-29012346","1:29139013-29139259","Unclassified_Cell_type_specific","TRUE",-1.56005744927855,-5.20283161116785,-5.16845855291758,5.5211021769009e-06,0.00457410475583735,3.88749796960534
"cg17457637","chr7",27170717,"+","cg17457637",NA,NA,NA,NA,NA,NA,"chr7:27169572-27170638","S_Shore","HOXA4","NM_002141","TSS1500","","","TRUE","7:27136937-27137577","7:27170014-27171090","Promoter_Associated","TRUE",-1.42928202213829,-1.23240270211961,-5.16611578263749,5.56426365986343e-06,0.0045991673028029,3.88045935671526
"cg13685951","chr1",177140322,"-","cg13685951",NA,NA,NA,NA,NA,NA,"chr1:177140120-177140323","Island","FAM5B","NM_021165","TSS1500","","DMR","TRUE","1:175406751-175407259","","","TRUE",-0.800767417124916,-3.80905188015027,-5.16528155712957,5.57971327929428e-06,0.00460126147495878,3.87795315002377
"cg00416710","chr16",29196027,"-","cg00416710",NA,NA,NA,NA,NA,NA,"chr16:29196537-29196771","N_Shore","","","","","","","16:29103502-29103712","","","TRUE",-1.01683286042996,0.841739810980286,-5.1633420039346,5.61579748386944e-06,0.00460619493171195,3.8721265641242
"cg04628256","chr3",31571701,"-","cg04628256",NA,NA,NA,NA,NA,NA,"chr3:31573302-31575282","N_Shore","","","","","","","","","","",-0.631764443695965,1.64629385026137,-5.16277248200076,5.62643687185186e-06,0.00460619493171195,3.87041574568325
"cg15092561","chr21",45554033,"-","cg15092561",NA,NA,NA,NA,NA,NA,"chr21:45553021-45554037","Island","C21orf33;C21orf33","NM_198155;NM_004649","Body;Body","","","","21:44377466-44378465","21:45552897-45554068","Promoter_Associated","",-0.763667628413991,-2.95132907479373,-5.16248295240386,5.63185329302094e-06,0.00460619493171195,3.86954602474818
"cg05514401","chr13",110436111,"+","cg05514401",NA,NA,NA,NA,NA,NA,"chr13:110434466-110440180","Island","IRS2","NM_003749","1stExon","","","","13:109231934-109238221","13:110435128-110436355","Unclassified_Cell_type_specific","",-0.608266508878815,2.51110068717644,-5.16218593069152,5.63741523453356e-06,0.00460619493171195,3.86865380730675
"cg19007269","chr10",105420501,"+","cg19007269",NA,NA,NA,NA,NA,NA,"chr10:105420685-105421076","N_Shore","SH3PXD2A","NM_014631","Body","","RDMR","TRUE","","10:105419167-105420771","Promoter_Associated","",-1.33493027750442,-2.36897784032372,-5.16121338869583,5.65566482455915e-06,0.00461053161424502,3.86573247310857
"cg18806997","chr1",45242078,"-","cg18806997",NA,NA,NA,NA,NA,NA,"chr1:45241013-45241900","S_Shore","SNORD46;RPS8;SNORD38A","NR_000024;NM_001012;NR_001456","TSS200;Body;TSS1500","","","","","1:45240714-45242398","Promoter_Associated","",-0.826881101651398,-2.50881488992979,-5.15997120946446,5.67905913180511e-06,0.0046190329233103,3.86200134362868
"cg12446629","chr8",132052044,"+","cg12446629",NA,NA,NA,NA,NA,NA,"chr8:132052203-132054749","N_Shore","ADCY8","NM_001115","1stExon","","","","8:132120898-132124107","","","",-0.730268773709476,-1.19989922305332,-5.15565307342965,5.76113105543949e-06,0.00467121225371612,3.8490322382342
"cg20626045","chr10",45477672,"-","cg20626045","rs78587105",0.016011,NA,NA,NA,NA,"","OpenSea","RASSF4","NM_032023","Body","","","","","","","TRUE",0.764417128942466,2.24297150115993,5.15453889819113,5.7824971739489e-06,0.00467121225371612,3.84568624008309
"cg02846961","chr19",812000,"+","cg02846961","rs11549884",0.028745,NA,NA,NA,NA,"chr19:811904-813824","Island","PTBP1;PTBP1;PTBP1;PTBP1","NM_031990;NM_031991;NM_002819;NM_175847","3'UTR;3'UTR;3'UTR;3'UTR","","","","","","","",-0.889931038903105,2.82372867106495,-5.15453613696725,5.78255022214715e-06,0.00467121225371612,3.84567794796917
"cg02722657","chr17",38334439,"-","cg02722657",NA,NA,NA,NA,NA,NA,"chr17:38333605-38334795","Island","RAPGEFL1;RAPGEFL1","NM_016339;NM_016339","1stExon;5'UTR","","","","17:35587134-35588286","17:38333236-38334643","Gene_Associated_Cell_type_specific","",-1.00569622296672,-2.39811653602074,-5.15187406602305,5.83391811333862e-06,0.00469302697865721,3.83768397231465
"cg17414508","chr1",44398516,"-","cg17414508",NA,NA,NA,NA,NA,NA,"chr1:44399068-44399535","N_Shore","ARTN;ARTN;ARTN","NM_057091;NM_001136215;NM_057090","TSS1500;TSS1500;TSS1500","","","","","","","",-0.50159053148638,1.89672627300299,-5.15151050501995,5.84096840573271e-06,0.00469302697865721,3.83659228755855
"cg13221074","chr11",64051814,"+","cg13221074","rs75052600",0.014181,NA,NA,NA,NA,"chr11:64052607-64053652","N_Shore","GPR137;BAD;BAD;GPR137;GPR137","NM_001170881;NM_004322;NM_032989;NM_001170726;NM_001170726","TSS1500;1stExon;Body;1stExon;5'UTR","","","","","","","",-0.58880602894518,-2.36337711478041,-5.15109297317316,5.84907571621722e-06,0.00469302697865721,3.83533855890995
"cg20300794","chr2",234359705,"-","cg20300794",NA,NA,NA,NA,NA,NA,"","OpenSea","DGKD;DGKD","NM_152879;NM_003648","Body;Body","","","","2:234024385-234024523","2:234359572-234359710","Gene_Associated_Cell_type_specific","",-0.899803017089981,0.996032982540074,-5.14968524588434,5.87649199227449e-06,0.00470442896581534,3.83111169352901
"cg00098799","chr15",99409360,"+","cg00098799",NA,NA,NA,NA,NA,NA,"","OpenSea","IGF1R","NM_000875","Body","","","TRUE","15:97226883-97227030","15:99408462-99409708","Promoter_Associated_Cell_type_specific","",1.04180465076446,0.576268899451139,5.14858998019553,5.89791079296295e-06,0.00471098930591724,3.82782317669815
"cg13310076","chr3",196296754,"-","cg13310076",NA,NA,NA,NA,NA,NA,"chr3:196295341-196295796","S_Shore","WDR53;FBXO45","NM_182627;NM_001105573","TSS1500;Body","","","","","","","",-0.646198935112518,-1.66728086009738,-5.14627533198981,5.94342995482495e-06,0.00473388676891619,3.82087390599151
"cg03691722","chr18",7011268,"-","cg03691722",NA,NA,NA,NA,NA,NA,"chr18:7011267-7011488","Island","LAMA1","NM_005559","Body","","","","18:7001268-7001488","","","",-1.31065964373713,1.09797828988297,-5.14528194937424,5.96307191808506e-06,0.00473388676891619,3.81789164821912
"cg26249852","chr19",17392298,"+","cg26249852",NA,NA,NA,NA,NA,NA,"chr19:17392383-17393775","N_Shore","ANKLE1","NM_152363","TSS200","","","","","19:17392294-17394214","Promoter_Associated","",-0.759322963835533,1.40251564177332,-5.14474285661399,5.97375815734407e-06,0.00473388676891619,3.81627326920626
"cg25595834","chr15",59156878,"+","cg25595834",NA,NA,NA,NA,NA,NA,"chr15:59157045-59157594","N_Shore","","","","","","TRUE","","","","TRUE",-0.796182042454134,1.34374884818939,-5.14249481815364,6.01852476028501e-06,0.00473388676891619,3.80952490017605
"cg20097593","chr2",70781679,"-","cg20097593",NA,NA,NA,NA,NA,NA,"chr2:70780049-70781577","S_Shore","TGFA;TGFA","NM_003236;NM_001099691","TSS1500;TSS1500","","","","","","","TRUE",-0.440172292711659,-0.55722144160135,-5.14237840214469,6.02085204022778e-06,0.00473388676891619,3.80917544667068
"cg01477835","chr4",87989696,"+","cg01477835",NA,NA,NA,NA,NA,NA,"","OpenSea","AFF1;AFF1","NM_001166693;NM_005935","Body;Body","","","TRUE","","","","",-0.646089519547727,3.50965262534115,-5.14223799738991,6.02366006485722e-06,0.00473388676891619,3.80875398652753
"cg18952026","chr12",1940380,"+","cg18952026",NA,NA,NA,NA,NA,NA,"","OpenSea","LRTM2;LRTM2;CACNA2D4;LRTM2","NM_001163925;NM_001039029;NM_172364;NM_001163926","Body;Body;Body;Body","","","TRUE","12:1810610-1810818","12:1939931-1940497","Unclassified_Cell_type_specific","TRUE",-0.61247419473469,-2.87981824700942,-5.1418323724583,6.03177963830849e-06,0.00473388676891619,3.80753641332062
"cg13730736","chr9",138653071,"-","cg13730736",NA,NA,NA,NA,NA,NA,"","OpenSea","KCNT1","NM_020822","Body","","","","","","","",-0.522673407976155,-0.253231504498801,-5.14177726768079,6.03288352984027e-06,0.00473388676891619,3.80737100547491
"cg18016128","chr17",16396497,"+","cg18016128",NA,NA,NA,NA,NA,NA,"chr17:16394833-16395843","S_Shore","C17orf76;C17orf76","NM_207387;NM_001113567","TSS1500;TSS1500","","","","","17:16396271-16396531","Unclassified_Cell_type_specific","",-0.798845120562577,0.681067416736858,-5.13943398737065,6.08001087605259e-06,0.00476038126272385,3.80033749099119
"cg00219626","chr6",28983835,"+","cg00219626","rs6916161",0.333892,NA,NA,NA,NA,"chr6:28984418-28984686","N_Shore","","","","","","","","","","",-1.09920088202611,-0.652368518586675,-5.13720004029985,6.12527829623801e-06,0.00478241449951409,3.79363270001506
"cg01807748","chr1",94534645,"-","cg01807748",NA,NA,NA,NA,NA,NA,"","OpenSea","ABCA4","NM_000350","Body","","","TRUE","","","","",0.723099648132418,2.99735520000198,5.13672235610741,6.13500098605718e-06,0.00478241449951409,3.79219908681583
"cg14446575","chr17",79801347,"+","cg14446575",NA,NA,NA,NA,NA,NA,"chr17:79799286-79799624","S_Shore","P4HB","NM_000918","3'UTR","","","","","","","TRUE",-0.968258797885339,1.85093403995447,-5.13475811435594,6.17514144901704e-06,0.00478517394867952,3.78630431646957
"cg05463589","chr16",88706426,"+","cg05463589",NA,NA,NA,NA,NA,NA,"chr16:88706211-88706492","Island","IL17C","NM_013278","Body","","","","16:87233731-87233984","16:88705230-88707025","Promoter_Associated","",1.5858734509839,0.837051407868796,5.13468642851649,6.17661129450515e-06,0.00478517394867952,3.78608919224013
"cg27033655","chr14",105667508,"-","cg27033655",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","","14:104738302-104738561","","","",-0.539455695344299,0.322295918962217,-5.13393380361731,6.19206400643922e-06,0.00478517394867952,3.78383065087688
"cg14271651","chr17",78826369,"-","cg14271651","rs114492714",0.033884,NA,NA,NA,NA,"","OpenSea","RPTOR;RPTOR","NM_001163034;NM_020761","Body;Body","","","TRUE","","","","",-0.49996595374759,2.43184105111997,-5.13392378813368,6.19226989948282e-06,0.00478517394867952,3.78380059596984
"cg27619353","chr22",38071651,"+","cg27619353",NA,NA,NA,NA,NA,NA,"chr22:38073037-38073412","N_Shore","LGALS1;LGALS1","NM_002305;NM_002305","1stExon;5'UTR","low-CpG:36401588-36401598","","","","22:38070968-38071698","Unclassified","",0.905637756148416,-0.4368794101623,5.13249845269544,6.22164034535864e-06,0.00479746377669326,3.77952349760089
"cg06031268","chr6",2770510,"+","cg06031268",NA,NA,NA,NA,NA,NA,"chr6:2765203-2766775","S_Shelf","WRNIP1;WRNIP1","NM_130395;NM_020135","Body;Body","","","","","","","",-1.31722946694636,1.58266896466113,-5.13108587002344,6.2508839215203e-06,0.00480960289983153,3.77528488579186
"cg27239981","chr6",166263710,"+","cg27239981",NA,NA,NA,NA,NA,NA,"chr6:166267509-166268461","N_Shelf","","","","","","","6:166183618-166183746","","","",1.01147692489231,0.706037878101243,5.12860750106728,6.30252044578054e-06,0.00482580648598191,3.76784879016622
"cg00870279","chr6",33256222,"-","cg00870279",NA,NA,NA,NA,NA,NA,"chr6:33256539-33256973","N_Shore","PFDN6;WDR46;WDR46","NM_014260;NM_005452;NM_001164267","TSS1500;Body;Body","","","","","","","",-0.736602956760765,-3.06863527987005,-5.12769833816737,6.32156831009224e-06,0.00482580648598191,3.76512110732837
"cg05396897","chr1",247611448,"-","cg05396897","rs74154650",0.054437,NA,NA,NA,NA,"chr1:247614695-247614944","N_Shelf","NLRP3;NLRP3;NLRP3;NLRP3;NLRP3","NM_001079821;NM_183395;NM_001127461;NM_001127462;NM_004895","Body;Body;Body;Body;Body","","","","","","","TRUE",-1.74193868675407,-0.780864217719209,-5.12764499855497,6.32268759409393e-06,0.00482580648598191,3.76496107991549
"cg16010628","chr12",49692283,"-","cg16010628",NA,NA,NA,NA,NA,NA,"chr12:49688873-49691360","S_Shore","PRPH","NM_006262","3'UTR","","","","","","","",-0.512119971113568,-1.53754229962345,-5.12748108270812,6.32612844798819e-06,0.00482580648598191,3.76446930797433
"cg24700547","chr4",88584096,"-","cg24700547",NA,NA,NA,NA,NA,NA,"","OpenSea","DMP1;DMP1","NM_004407;NM_001079911","Body;Body","","","","","","","",0.628430751256694,4.26698832989866,5.12585060301802,6.360455782258e-06,0.00483245298320008,3.75957778676537
"cg11765671","chr7",6197576,"+","cg11765671","rs185049048",0.0302,NA,NA,NA,NA,"chr7:6198495-6198731","N_Shore","USP42","NM_032172","Body","","","","7:6164024-6164204","","","",-0.905122850646366,4.26608637544071,-5.12577882188903,6.36197125326906e-06,0.00483245298320008,3.75936244647381
"cg04698020","chr19",13267436,"+","cg04698020",NA,NA,NA,NA,NA,NA,"chr19:13266389-13267030","S_Shore","","","","","","","","19:13265724-13267553","Promoter_Associated","",0.620415644130973,-2.20000344466702,5.12452221583843,6.38855911924725e-06,0.00484232392220476,3.75559277431238
"cg13596085","chr2",101008284,"+","cg13596085",NA,NA,NA,NA,NA,NA,"","OpenSea","","","","","","","2:100374680-100374717","","","",-0.747539384760858,2.12248933892708,-5.12178421276383,6.44687220171877e-06,0.0048618894930565,3.74737968571066
"cg03611151","chr1",24229581,"-","cg03611151",NA,NA,NA,NA,NA,NA,"chr1:24229115-24229537","S_Shore","CNR2","NM_001841","5'UTR","","DMR","","1:24101125-24102225","","","TRUE",-1.00430446675704,-0.974211077457783,-5.1217646240712,6.44729128564486e-06,0.0048618894930565,3.74732092920006
"cg16362481","chr2",128413009,"+","cg16362481",NA,NA,NA,NA,NA,NA,"chr2:128408957-128409355","S_Shelf","LIMS2;LIMS2;LIMS2;LIMS2","NM_001136037;NM_017980;NM_001161403;NM_001161404","Body;Body;Body;Body","","","TRUE","","","","",-0.777418929966005,1.61911120956269,-5.12138981970114,6.45531510678248e-06,0.0048618894930565,3.74619670731512
"cg19497523","chr19",2425476,"-","cg19497523",NA,NA,NA,NA,NA,NA,"chr19:2424005-2427983","Island","TMPRSS9","NM_182973","Body","","","","19:2375751-2376701","19:2425434-2426038","Promoter_Associated_Cell_type_specific","",-1.55943655207956,2.39262373881398,-5.11970818786906,6.49143722767183e-06,0.00487878070711382,3.74115286103304
"cg23454797","chr7",27183990,"+","cg23454797",NA,NA,NA,NA,NA,NA,"chr7:27182613-27185562","Island","HOXA5","NM_019102","TSS1500","","CDMR","","","7:27182652-27184498","Unclassified","",1.49547342141277,3.25670151489766,5.11713125128802,6.54717900118045e-06,0.00491031533321164,3.73342426717762
"cg02633398","chr16",88974944,"-","cg02633398","rs116396843",0.04344,NA,NA,NA,NA,"chr16:88975850-88976169","N_Shore","CBFA2T3;CBFA2T3","NM_175931;NM_005187","5'UTR;Body","","","","16:87502374-87502469","16:88974942-88975184","Unclassified_Cell_type_specific","",-1.01207659995482,0.898032434229999,-5.11615019599521,6.56852439038777e-06,0.00491597472994473,3.73048213873675
"cg10993086","chr1",159919350,"+","cg10993086",NA,NA,NA,NA,NA,NA,"chr1:159915368-159915797","S_Shelf","","","","","","","","","","",-0.918072709567329,1.98879497263598,-5.11216332057964,6.65597941867007e-06,0.00496614689681694,3.71852683183327
"cg14087880","chr10",47083316,"-","cg14087880",NA,NA,NA,NA,NA,NA,"chr10:47083341-47083633","N_Shore","PPYR1","NM_005972","TSS1500","","","TRUE","","","","",-0.903174142334882,-2.35876948469175,-5.11182547959317,6.66344290215582e-06,0.00496614689681694,3.71751384119546
"cg20968821","chr14",105522684,"-","cg20968821",NA,NA,NA,NA,NA,NA,"","OpenSea","GPR132","NM_013345","5'UTR","","","TRUE","14:104593195-104594073","14:105522612-105522727","Gene_Associated_Cell_type_specific","",-0.465968502584168,1.04328822223062,-5.11000450549374,6.70381404532688e-06,0.00497027129434822,3.7120540081598
"cg16280363","chr12",57882891,"-","cg16280363",NA,NA,NA,NA,NA,NA,"chr12:57881750-57882035","S_Shore","MARS","NM_004990","Body","","","","","","","",-0.598725071313998,2.6104517298892,-5.10989990242204,6.70614043432582e-06,0.00497027129434822,3.71174038768705
"cg18335326","chr6",30653659,"+","cg18335326",NA,NA,NA,NA,NA,NA,"chr6:30654392-30654934","N_Shore","KIAA1949;KIAA1949","NM_001134870;NM_133471","Body;1stExon","","","","6:30761632-30761729","6:30652289-30655443","Promoter_Associated","",0.794017508279948,-1.2911532584259,5.10968904282021,6.71083241191173e-06,0.00497027129434822,3.71110819307965
"cg24666756","chr10",6268277,"+","cg24666756","rs61731874",0.014286,NA,NA,NA,NA,"","OpenSea","PFKFB3;PFKFB3","NM_004566;NM_001145443","Body;Body","","","","10:6308194-6308595","","","",-0.728387820101042,2.95258399764561,-5.10893116428674,6.72772328453953e-06,0.00497244353008461,3.70883597956339
"cg09241714","chr7",50366850,"+","cg09241714",NA,NA,NA,NA,NA,NA,"","OpenSea","IKZF1","NM_006060","Body","","","","","","","",-2.2955254028962,3.80927745746071,-5.10742609421589,6.76139156155249e-06,0.00498698123570449,3.70432378472708
