# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
AAGAB	cg22410743 (-27824)
MPPED1	cg20209891 (-587)
MPPED2	cg10833551 (-47475)
MPZL1	cg01809639 (-88326)
MR1	cg21220403 (+72071)
MRM1	cg06937207 (+102112)
MRP63	cg10467557 (+142879)
MRPL28	cg01388847 (+8098)
MRPL33	cg12337011 (+7841)
MRPL35	cg01003595 (+351)
MRPL53	cg26837570 (-10219)
MRPS10	cg25155298 (-222679)
MRPS18B	cg15961920 (+808), cg15735240 (+875)
MRPS22	cg24872425 (+688)
MRVI1	cg07276621 (-35572)
MS4A10	cg06968712 (-17909)
MS4A15	cg06968712 (+10431)
MSI2	cg26871347 (+37833)
MSMO1	cg05119988 (+2415)
MSR1	cg16303562 (-110)
MSX1	cg26789064 (+4738)
MSX2	cg14736365 (-203889), cg11951818 (+2473), cg04678623 (+710689)
MTA2	cg14935206 (+1547)
MTAP	cg03724238 (-105875)
MTHFD2L	cg23208326 (+126031)
MTL5	cg00414384 (+983)
MTMR12	cg16300565 (-75551)
MTMR14	cg27298300 (-1474)
MTNR1A	cg08288016 (-113816), cg21004358 (+54601), cg16786756 (+54606), cg27420889 (+54685), cg09732405 (+54715)
MTRNR2L1	cg14770527 (+180713)
MTRNR2L4	cg27295850 (+7299)
MTX2	cg13995497 (-76661)
MUC20	cg21513138 (+13066)
MUC21	cg09401705 (-1195)
MUC4	cg21513138 (+78329)
MUC7	cg06792975 (+41665)
MVD	cg10330885 (-451)
MXD3	cg14643075 (-16140), cg23222488 (-16084), cg17745339 (-15890)
MXD4	cg23151014 (-154291)
MYBBP1A	cg09726279 (+845)
MYCBPAP	cg19912956 (-22645)
MYH14	cg03344031 (-514)
MYL1	cg22904096 (-473)
MYLIP	cg06694826 (-454179)
MYO1F	cg22987448 (+51096)
MYO5B	cg26994526 (+1727)
MYO7A	cg24852442 (+63825)
MYOCD	cg10974219 (+99723)
MYRF	cg11620409 (-433)
MYT1L	cg11170044 (-796421), cg09332960 (+546897)
N4BP3	cg20559537 (-506), cg27035514 (-445)
NAA38	cg13799581 (+11873)
NACA2	cg04921776 (+103905)
NANOS3	cg05325182 (-72309)
NANS	cg11317199 (+31371)
NAT14	cg23258940 (-519)
NAT2	cg25516151 (+165135)
NAT8L	cg06124390 (-8610)
NAT9	cg09978353 (+13187)
NAV3	cg15405572 (-516)
NBEA	cg14774585 (+530154), cg10587183 (+532469)
NBPF16	cg00822399 (+407030), cg27587661 (+408870)
NCAPG2	cg06737942 (-116073)
NCEH1	cg18802998 (-15416)
NCKAP5	cg16328548 (+43928), cg18806033 (+144029), cg00113096 (+206225)
NCOA4	cg12178669 (+1095)
NCOA5	cg12458970 (+62218)
NCOA7	cg13799242 (-29635)
NCOR2	cg03565777 (-48542), cg15627464 (-5858), cg14951136 (+105790), cg24975642 (+106450), cg25459280 (+487248)
NCR1	cg17804112 (-11)
NCR2	cg00656735 (+167396), cg26242687 (+167488)
NDNL2	cg26330365 (-140633)
NDRG1	cg10191240 (+79727)
NDST3	cg17718401 (+243853)
NDUFA10	cg21029631 (+212294)
NDUFA12	cg20734030 (+286282)
NDUFA6	cg18565915 (-2616)
NDUFC1	cg15392111 (+6100)
NDUFC2-KCTD14	cg18402101 (+1443)
NDUFS1	cg21647278 (-2878), cg12608507 (-1560)
NDUFS6	cg12485135 (+54812)
NDUFS7	cg09487101 (-96201), cg14796563 (-96053), cg15998406 (-95797)
NEBL	cg11936560 (-502268)
NECAB1	cg18030615 (-140323)
NEDD1	cg06941630 (+223947), cg10635188 (+405558), cg07251046 (+489780)
NEGR1	cg09256413 (+181726)
NEIL2	cg17155499 (+17397)
NEK11	cg00404641 (+334790)
NEK8	cg09479241 (-3121)
NELFE	cg08810053 (+814)
NES	cg06355129 (+895), cg12080906 (+1123), cg08465120 (+19616)
NEU1	cg13541527 (+26604)
NEU4	cg14247008 (+33952)
NEURL	cg23901918 (+167012)
NEURL1B	cg13412545 (+107497)
NEUROD2	cg07381634 (+10335)
NEUROG1	cg06800658 (-10332), cg00513205 (-1011)
NFAM1	cg15770575 (+67753)
NFAT5	cg02645135 (-82758)
NFIC	cg14883993 (+8149)
NFKBIA	cg16518861 (+2236)
NGEF	cg13759905 (+136061)
NGF	cg25599129 (-141150), cg07790079 (-141069)
NHLRC1	cg05927817 (+102493), cg13981054 (+102735)
NHP2	cg27128941 (-11955)
NID2	cg04701034 (-464)
NIPA2	cg27406983 (+110584), cg12759523 (+110906)
NKD1	cg01194320 (-89074)
NKD2	cg22158992 (+12888)
NKX1-1	cg08274176 (-224894)
NKX2-5	cg04436554 (-7617), cg18872497 (-2777)
NKX2-6	cg23288838 (-91964), cg03324961 (-41491)
NKX6-1	cg10236603 (+173427)
NKX6-2	cg00831222 (-294120), cg11860238 (-127110), cg12880300 (+2197)
NLRP1	cg10372920 (-313225), cg06683719 (-186274)
NLRP5	cg20956548 (+106969)
NME3	cg09540102 (-394)
NME6	cg18074165 (+27836)
NME7	cg26009832 (+255310)
NMNAT3	cg03891318 (+24183)
NOBOX	cg18992848 (-424632)
NOC2L	cg04121631 (+19324), cg24362661 (+23123), cg02439789 (+23228), cg10146935 (+23361)
NOG	cg00475235 (-434941)
NOLC1	cg01060471 (-199)
NOM1	cg11561909 (-4835), cg17827650 (-902), cg07626700 (-882), cg02413092 (-878)
NOP56	cg05193435 (-94069)
NOX4	cg19981409 (-390)
NOX5	cg00687674 (+66227)
NPBWR1	cg07075268 (+6057)
NPC2	cg10900663 (+17670)
NPIPB11	cg01643605 (+374726)
NPM1	cg11927233 (+1891)
NPM2	cg07485417 (+1207)
NPSR1	cg15754660 (+1497)
NPTX1	cg12495559 (+35369)
NR1D2	cg10674438 (+158867)
NR2F6	cg26279261 (+10659)
NR4A2	cg16058600 (+6214)
NRG2	cg04636402 (+138104)
NRP1	cg25212025 (-977748)
NRXN1	cg00345522 (-863)
NRXN3	cg18818949 (+688731)
NSF	cg18941031 (+223776)
NSMAF	cg06779553 (-448421)
NSMF	cg21241902 (+5771)
NSUN2	cg26420013 (+1383)
NT5C	cg14818176 (-20591)
NTF3	cg06582782 (+79983)
NTM	cg26567736 (-22922), cg05035315 (+910129), cg19743254 (+954459)
NTN1	cg16263848 (+93948), cg13874654 (+94478)
NTN5	cg27008631 (-79)
NTNG1	cg07243548 (+547719)
NTRK3	cg16716320 (+393151)
NUB1	cg00027162 (+48930)
NUDT16	cg00404641 (-20112)
NXN	cg01554963 (+109986)
NXPE2	cg09741912 (+372787)
NXPH1	cg00434535 (+548970)
OBP2B	cg13531387 (+5970), cg14341968 (+8759), cg06361845 (+9741)
OCA2	cg02769599 (+840923)
ODF2L	cg20280835 (+743)
OFCC1	cg03754044 (-173357)
OGFRL1	cg27384088 (+299770)
OLFM1	cg14549951 (+31605), cg12376422 (+168686)
OLFM2	cg26153497 (+17789)
OMA1	cg15898414 (+299104), cg07026918 (+539650), cg20292791 (+923114), cg00026909 (+923470)
ONECUT1	cg12932613 (-4422), cg25402787 (-2471)
ONECUT3	cg11643186 (-17135)
OPCML	cg11747462 (-56035), cg19743254 (+77751), cg05035315 (+122081)
OPN4	cg17350441 (-24671)
OPRD1	cg20280170 (-37044)
OPRK1	cg07075268 (+307209)
OR10C1	cg03554196 (-2415), cg17512539 (-2358), cg15148691 (-2349)
OR13A1	cg26510023 (+116166), cg05960576 (+116469), cg03955764 (+206274)
OR2C1	cg27295850 (+9095)
OR4A16	cg14715327 (-741)
OR4C46	cg18369913 (-198)
OR4E2	cg22816294 (+325338)
OR4S1	cg05402062 (-1386)
OR4S2	cg04317927 (+437)
OR4X1	cg04721828 (-212)
OR5AK2	cg23677291 (+167181)
OR5B17	cg05655457 (-1403)
OR5I1	cg05421392 (-726)
OR5P3	cg25541968 (-624)
OR5V1	cg15148691 (-4990), cg17512539 (-4981), cg03554196 (-4924)
OR6B3	cg05740739 (-1163)
ORC5	cg18294158 (-693)
OSBPL10	cg15344504 (+345715)
OSBPL5	cg26073542 (+12455)
OSBPL6	cg20587874 (+210025)
OSR2	cg05085137 (-614), cg01148781 (+6352)
OTOGL	cg21826699 (+191207), cg05628616 (+191347)
OTOP1	cg02596940 (+396253)
OTOP3	cg10338787 (-129)
OVCA2	cg20777128 (-250)
OVGP1	cg09558502 (-133)
OXGR1	cg17345620 (+5940)
OXT	cg20245439 (+931)
P2RY12	cg06855506 (-50174)
P2RY14	cg25117092 (+47980)
P2RY2	cg12419482 (+3939)
P2RY6	cg12419482 (-49964)
P4HB	cg17054691 (+5130)
PABPC1	cg01950192 (-127827)
PABPC4	cg04977528 (-49277)
PABPN1L	cg02431972 (-90463), cg08732950 (-90364), cg10368641 (+70)
PACSIN1	cg10486974 (+16726)
PADI2	cg03601920 (+619)
PAFAH1B3	cg08835342 (-4162), cg14242928 (-4089), cg04739228 (+85)
PAK1	cg24536703 (+1666)
PAK6	cg10462820 (+35313)
PAPOLA	cg12043145 (+237243)
PAPOLB	cg03229627 (-20415), cg04816699 (-20203), cg22283115 (-9497), cg11526630 (+56057)
PAPPA2	cg25104727 (+569487)
PAQR8	cg07333545 (-56319)
PARD3	cg25212025 (+501311)
PARK7	cg10385390 (+754), cg26359510 (+53386)
PARP4	cg13793718 (-125301)
PARVA	cg11758841 (+131424)
PAX2	cg24523147 (-84400), cg23779240 (-67250), cg24954809 (+70892)
PAX3	cg04134754 (+29675)
PBX1	cg27636676 (+793735)
PCBD1	cg25363622 (-27)
PCDHA1	cg23910413 (-60470)
PCDHA12	cg22845236 (+392)
PCDHB14	cg15221642 (-4371), cg21745283 (-558)
PCDHB2	cg11182018 (-164)
PCDHB3	cg26476502 (+708)
PCDHGA12	cg14681511 (-4503), cg16316394 (-4343), cg21929183 (-2959), cg17303540 (-2116), cg25949304 (+5034), cg04117404 (+9116)
PCDHGA3	cg22056094 (-3638)
PCDHGA4	cg27079776 (-1346)
PCDHGA6	cg00039176 (-574)
PCDHGC3	cg25949304 (-40361), cg04117404 (-36279)
PCGF2	cg21692159 (+7132)
PCGF3	cg21445527 (+37900), cg17754473 (+99058), cg04074536 (+99158)
PCSK2	cg09165842 (+88682)
PCSK6	cg13985765 (+130625)
PCTP	cg00475235 (+407779)
PDCD1	cg14247008 (+15013)
PDE10A	cg05295566 (-191715), cg17537347 (-157585)
PDE3B	cg27389255 (-670)
PDE4A	cg12186909 (+1686)
PDE4B	cg23045908 (+541223)
PDE4D	cg18804667 (+306232)
PDE5A	cg01736133 (-55374)
PDE6B	cg01052636 (+26046)
PDE9A	cg04090347 (-12267), cg26772386 (+36618)
PDF	cg02004370 (+1868)
PDGFRA	cg20694425 (+140155)
PDIA2	cg00973118 (+41419)
PDIA5	cg04830808 (-73692)
PDIA6	cg01930746 (+2458)
PDIK1L	cg21386414 (-16978)
PDK2	cg04198042 (-3268)
PDLIM1	cg02221546 (-22419), cg15233961 (+60237)
PDPN	cg23954416 (-798)
PDX1	cg23819016 (-96963)
PDZD7	cg21378403 (+12965)
PDZD8	cg04450857 (-161779)
PDZK1	cg07027119 (-26569)
PEG10	cg07921535 (+275)
PENK	cg19413350 (+7521), cg09654669 (+7603), cg07776626 (+7813)
PEPD	cg20148881 (-99530)
PET112	cg03782771 (-119064), cg19183248 (+317215)
PEX13	cg17673205 (+509)
PEX14	cg11233000 (+316704)
PEX5L	cg20193910 (+253129)
PGA5	cg24011500 (+40717), cg07250758 (+40738)
PGAM2	cg21088488 (-536)
PGBD3	cg24002541 (+82477)
PGF	cg05274056 (-28623)
PGLYRP1	cg24917775 (-353)
PGRMC2	cg21956614 (-229090)
PHACTR4	ch.1.949135F (+21507)
PHF10	cg18881641 (+20652)
PHF17	cg21956614 (-291705)
PHF19	cg14392772 (-26876)
PHF21B	cg14786713 (-550)
PHF7	cg13288301 (+1753)
PHYHIPL	cg00317020 (-2771)
PHYKPL	cg24527008 (-210448)
PI15	cg22993706 (-193915)
PIEZO1	cg16641055 (+5326), cg06867482 (+29713)
PIGC	cg26896255 (+525925)
PIGZ	cg24337025 (-10181)
PIK3R1	cg21562809 (-29601)
PIK3R2	cg14317046 (-29549)
PIM3	cg10976318 (+112373)
PIN1	cg26153497 (+83440)
PINK1	cg14832490 (-2186)
PIP4K2B	cg25615944 (-52802), cg05780139 (-52355)
PIRT	cg25596289 (+378)
PITRM1	cg07933234 (-226623)
PITX2	cg05103917 (+10711), cg22006640 (+12223)
PKHD1	cg08947151 (+273344)
PKIA	cg00738934 (-432094)
PKLR	cg23923820 (+3744)
PKP3	cg14897765 (+12276)
PLCB2	cg10462820 (+33189)
PLCL2	cg18422055 (+51034)
PLD5	cg27390627 (-186400), cg07977614 (+377674)
PLEKHA3	cg02880032 (+284278)
PLEKHD1	cg19937979 (+88445)
PLEKHF1	cg16023306 (-49374)
PLEKHG2	cg06580800 (+18311)
PLEKHG4B	cg01239922 (+50870), cg03553576 (+50924)
PLEKHH3	cg07968906 (+6026)
PLEKHM1	cg04194664 (-148508)
PLIN4	cg19417168 (-14246), cg23254302 (-14007)
PLIN5	cg19417168 (+3274), cg23254302 (+3513)
PLXDC1	cg06711380 (+183952)
PLXNA1	cg23449544 (+229960), cg26075423 (+379718)
PLXNC1	cg12999267 (-165528)
PM20D2	cg13675055 (+17226)
PNISR	cg16486502 (-9771)
PNLDC1	cg21457401 (+20219)
PNLIP	cg12200270 (-100907)
PNLIPRP1	cg01047476 (+29916), cg07945733 (+79005)
PNLIPRP3	cg12200270 (+17157)
PNO1	cg13802433 (+18032)
PNPLA6	cg19839825 (+16376)
PNPLA8	cg17368726 (-2457)
POC5	cg27295642 (+60861)
POGLUT1	cg15495594 (-1123), cg04985251 (+710)
POLE3	cg00070052 (+979)
POLG	cg17846127 (-62428), cg20467658 (-55270)
POLR3B	cg23477940 (-221)
POLRMT	cg20463312 (+42206)
POP4	cg16023306 (+11665)
POU3F1	cg19224645 (-769554), cg13202591 (-769438)
POU3F2	cg04692454 (-7274), cg12287785 (+12891)
POU4F2	cg01572513 (-2185)
POU4F3	ch.5.2733100F (-104878)
PPARGC1A	cg27461259 (-922)
PPEF2	cg17445155 (+16137)
PPIAL4C	cg00822399 (-406530), cg27587661 (-404690)
PPM1M	cg11159295 (-85)
PPM1N	cg03239386 (-1752)
PPP1R10	cg15735240 (-1340), cg15961920 (-1273)
PPP1R14A	cg08052629 (+615)
PPP1R26	cg14549951 (-372677), cg12376422 (-235596)
PPP1R27	cg17054691 (-20531)
PPP2CA	cg03183936 (+1204)
PPP2R2B	cg02760293 (+176751)
PPP2R2D	cg18138206 (-637223)
PPP3R1	cg13802433 (+76655)
PPP4R1L	cg26029902 (+69)
PPP5D1	cg18709349 (+105182), cg16617301 (+105347), cg03969996 (+105401), cg02876326 (+108699)
PPP6R3	cg18840931 (+122173)
PPT2	cg05764839 (-3001)
PPT2-EGFL8	cg05764839 (-3700)
PPY	cg06238004 (-10086)
PQLC2	cg01832549 (+136168)
PRAC	cg16654603 (+44461)
PRC1	cg14696334 (+37531), cg22110973 (+38098)
PRDM1	cg09187505 (-99765), cg17394530 (-99571), cg14359052 (+12550)
PRDM10	cg14504497 (-39678)
PRDM16	cg01431482 (+3311), cg25618424 (+3533), cg00806481 (+10876), cg24499605 (+157151), cg22497969 (+157244), cg17435683 (+244835)
PRDM2	cg26608693 (-3768)
PREP	cg17394530 (-583665), cg09187505 (-583471)
PRKAA1	cg15130459 (-35753)
PRKCA	cg04721825 (+165544), cg18373158 (+386165)
PRKCZ	cg01927825 (+139816)
PRKRA	cg20587874 (+46725)
PRM1	cg06946797 (-47203)
PRMT3	cg10278102 (+1141)
PRMT8	cg04941278 (-34305)
PROK2	cg09006487 (-590771)
PRPF40A	cg06503315 (-758775)
PRPF6	cg26057840 (+65142)
PRPSAP1	cg00549574 (-713), cg09812376 (+80039)
PRRT1	cg05764839 (+1430)
PRRT2	cg03527802 (-3580)
PRRX1	cg24368876 (+266239)
PRSS1	cg17230773 (+36819), cg02745912 (+36875), cg21785034 (+37110), cg13378656 (+37163), cg19856897 (+38517)
PRSS12	cg17718401 (+74805)
PRSS21	cg19403023 (-18430), cg27561907 (-18397)
PRSS33	cg27561907 (-12123), cg19403023 (-12090)
PRSS45	cg22309949 (-5948)
PRSS48	cg19183248 (+166637)
PRSS50	cg22309949 (+61871)
PRSS54	cg09584188 (-36046)
PRSS58	cg05482413 (+17255)
PRTFDC1	cg03337218 (+51666)
PRTN3	cg17661717 (-6523)
PRUNE	cg18182216 (-2567)
PSAPL1	cg27200895 (-327004), cg27175016 (-283285)
PSD2	cg04636402 (+109369)
PSD3	cg25627341 (-121377), cg19414122 (-25436), cg25516151 (+457306)
PSMA1	cg27389255 (+564)
PSMA6	cg16518861 (+110153)
PSMD7	cg10118462 (-633173)
PTCH1	cg13998223 (-118140)
PTGER3	cg20457732 (+340984)
PTGER4	cg22838357 (-955260)
PTGFR	cg09685982 (-298)
PTGFRN	cg17907003 (+80736)
PTGIS	cg27403406 (-141039)
PTH	cg07033475 (+8797)
PTH2	cg08340482 (-547)
PTK7	cg20976787 (+19909)
PTN	cg17582698 (-501276), cg24889058 (+418591)
PTPLA	cg15115171 (+54546)
PTPN12	cg06551493 (+111)
PTPRC	cg22073152 (+25328), cg04214459 (+29443)
PTPRN2	cg21325485 (+15438), cg08951403 (+419950), cg00239915 (+570774), cg15727524 (+849154), cg14832998 (+849414), cg15733309 (+866663)
PTPRQ	cg21826699 (-43686), cg05628616 (-43546)
PTPRZ1	cg14418857 (-392711)
PTRH2	cg16596536 (-1998)
PUS10	cg17673205 (+23)
PWP1	cg13935577 (-104611)
PWWP2A	cg19535980 (+27277)
PXDN	cg09332960 (-39713)
PXMP4	cg04988273 (-424), cg26537568 (+3734)
PYY	cg06238004 (+52109)
QDPR	cg18188326 (-4594), cg26689483 (+659)
QSOX1	cg03396826 (+37484)
RAB11FIP2	cg12894449 (+502009)
RAB11FIP4	cg02736908 (+168735)
RAB20	cg08959039 (+151813)
RAB21	cg02611240 (+981)
RAB22A	cg26029902 (-326)
RAB23	cg27164797 (+48846), cg10230427 (+48850)
RAB2A	cg20091636 (-102933)
RAB34	cg16565409 (-2938)
RAB38	cg23502204 (+3339)
RAB40B	cg24422797 (+23424)
RAB5C	cg22373112 (-712), cg13470069 (-562)
RAB6C	cg08466571 (-268579)
RABAC1	cg11666770 (+32631), cg18655918 (+33700)
RABEPK	cg05072215 (+39004)
RAD18	cg00743056 (+521)
RAD23A	cg14000467 (-2982)
RADIL	cg03229627 (+1310), cg04816699 (+1522), cg22283115 (+12228)
RALA	cg20842915 (+2051)
RAMP3	cg23050437 (+220)
RAP1GAP	cg14515812 (-516)
RAPGEF2	cg04973183 (-69965)
RASEF	cg14130664 (-473851)
RASGRF1	cg26891150 (-192520)
RASGRP3	cg06971903 (+19252)
RASSF9	cg02569458 (+254)
RBFOX1	cg03623568 (-466760), cg16716449 (-406041)
RBFOX3	cg06623295 (-61192), cg17167303 (+102851)
RBKS	cg11906781 (-69430)
RBM19	cg04672622 (-320147), cg08800396 (+203831), cg02705918 (+316874)
RBM27	cg00703542 (+348), ch.5.2733100F (+30546)
RBM28	cg07428004 (+71589), cg02962944 (+71926), cg20372230 (+71994), cg01745789 (+72095), cg20245362 (+72594), cg21885361 (+72927), cg08234689 (+73034)
RBM33	cg17278072 (-178961)
RBM43	cg26572896 (+732288)
RBM48	cg06688763 (+80121), cg15261712 (+80162)
RBP1	cg03891318 (-114005)
RCC1	ch.1.949135F (-58580)
RCCD1	cg22110973 (+1527), cg14696334 (+2094)
RCSD1	cg15676719 (-808), cg04275362 (-769), cg01809639 (+3531)
RDH10	cg19846154 (+125266)
REEP3	cg20345234 (+520255)
REEP6	cg09791746 (+19330), cg17147471 (+19420)
RELL1	cg03420978 (+145687)
RELN	cg17713912 (+180069)
REM1	cg03529184 (-933), cg13159946 (+10426)
RERE	cg18273817 (-58655), cg14380444 (+299989)
RERGL	cg12403132 (+691730)
RETN	cg02346997 (-46)
RETNLB	cg21610854 (+1686)
REXO1	cg08620751 (-3299)
RFC4	cg20674424 (+20956)
RFPL2	cg14395060 (+158293)
RFTN2	cg09096031 (+149)
RGCC	cg18008086 (-3162)
RGR	cg04757499 (+11789)
RGS3	cg21230317 (+33597)
RGS6	cg10193870 (+738851)
RHBDL3	cg18033416 (-1161)
RHCG	cg17846127 (+99338), cg20467658 (+106496)
RHEB	cg00027162 (+129283)
RHOU	cg16732787 (-84831), cg12762413 (+2597)
RICTOR	cg07669182 (-129246), cg20380468 (-128548)
RILPL1	cg21843517 (+68090)
RIMBP2	cg09163477 (-187636), cg15732107 (-169121), cg27485790 (-132884)
RIMS1	cg27384088 (-298451), cg08500200 (+295312)
RMI2	cg06946797 (-16878)
RNASEH2B	cg10583144 (+311867)
RNASEH2C	cg09235723 (-6900)
RNASET2	cg25258033 (+1532), cg01612133 (+52390)
RND3	cg26572896 (-41924)
RNF14	cg24777028 (-347)
RNF157	cg09812376 (-33737)
RNF181	cg08550242 (-704)
RNF187	cg16732787 (+111231)
RNF34	cg18795232 (+52242)
RNF4	cg12833118 (+90967)
RNF6	cg11787508 (+35453)
RNGTT	cg25278663 (+376367)
ROBO3	cg15331036 (+10514)
ROBO4	cg15331036 (+22381)
ROR1	cg08634298 (+98148)
RPA1	cg02467073 (-705), cg07997877 (+77576)
RPAP3	cg18786123 (+312776)
RPE	cg23849410 (-44307)
RPL22L1	cg04799778 (-21011), cg16512144 (+129295)
RPL23	cg25615944 (+1136), cg05780139 (+1583)
RPL23A	cg16565409 (+1813)
RPL27A	cg22841667 (+1663)
RPL31	cg10446401 (+486), cg14573099 (+142270)
RPL37	cg15130459 (+1208)
RPL38	cg19734013 (-94898)
RPL4	cg23446514 (+70), cg18091264 (+1625)
RPL9	cg07321536 (+610)
RPP21	cg26922678 (+108074), cg23778943 (+108282)
RPRM	cg06503315 (+2052)
RPS16	cg11374355 (+927), cg06580800 (+5052)
RPS19BP1	cg10955164 (+9622)
RPS24	cg18237330 (+973619)
RPS6	cg01331992 (+1133)
RPS6KA2	cg25258033 (-92619), cg01612133 (-41761), cg13217373 (+643), cg23641108 (+92136), cg00278517 (+205422), cg20486651 (+205742), cg00271210 (+205985)
RPS6KA5	cg04742977 (+399491), cg13497903 (+606310)
RPSA	cg00063111 (+773)
RPTOR	cg09803959 (+346447)
RRAGC	cg19224645 (+43491), cg13202591 (+43607)
RRM2B	cg15001633 (-14636)
RRP12	cg08345082 (+899), cg20016023 (+969)
RSAD1	cg19912956 (+6939)
RSBN1L	cg15697019 (+32225)
RTKN	cg00610692 (+953)
RTKN2	cg24495062 (+345119)
RTN1	cg01604380 (+1391)
RTN2	cg03239386 (+340)
RTN4RL1	cg07997877 (+117324)
RUFY1	cg17811323 (+27149)
RUNX3	cg15712177 (+55204)
RUSC2	cg27416261 (-132038)
RXRB	cg03963919 (+1203)
RYBP	cg09006487 (+71086)
S100A13	cg17729941 (-1050)
S100A2	cg23656322 (+4418)
S100A3	cg23656322 (-12075)
SACM1L	cg13148151 (-92775)
SACS	cg04337937 (-542)
SALL1	cg02305289 (-393811)
SALL3	cg12952924 (-47875)
SALL4	cg19871388 (-24)
SAMD11	cg10146935 (+10191), cg02439789 (+10324), cg24362661 (+10429), cg04121631 (+14228)
SATB2	cg10000184 (+438020)
SC5D	cg10052504 (+80725), cg13683424 (+134993)
SCAMP2	cg08120141 (-116)
SCAND3	cg26481402 (-297939), cg24867279 (-297910), cg03595533 (-229677), cg01498609 (-178550)
SCAPER	cg15268244 (+835)
SCARB1	cg03565777 (+320053), cg15627464 (+362737)
SCARF2	cg04097078 (+7603), cg22091609 (+11637), cg21299458 (+12249)
SCD5	cg13497089 (+1603)
SCG2	cg09410512 (-97180)
SCGN	cg13261390 (-308027)
SCMH1	cg11674448 (-84663), cg03387723 (-81361)
SCN5A	cg15682617 (+101299)
SCN7A	cg07297242 (-123828), cg10755878 (-123240)
SCN8A	cg18426142 (-773)
SCRN1	cg18046394 (+105739)
SCYL1	cg23743554 (+28679), cg20588859 (+28882)
SDC2	cg24326782 (-3107)
SDHA	cg01239922 (-27113), cg03553576 (-27059)
SDIM1	cg05295566 (+42453), cg17537347 (+76583)
SDK1	cg20997710 (-36465)
SDK2	cg19734013 (-464666)
SDR16C5	cg19413350 (-117827), cg09654669 (-117745), cg07776626 (-117535)
SEC14L1	cg13308743 (-32956), cg23541975 (+58354), cg00618183 (+58770)
SEC14L4	cg13007784 (+432)
SEC16B	cg01931994 (+713199)
SEC31B	cg04611437 (-107), cg26458072 (-104)
SEC61A1	cg04536829 (+784)
SEL1L	cg14132731 (+701)
SEMA4G	cg24954809 (-156232)
SEMA5B	cg04830808 (-17244)
SEMA6D	cg05372679 (+54045)
SENP2	cg16090254 (-26256)
SENP8	cg14080982 (-673153)
SEPP1	cg14697657 (-46147)
SEPT10	cg04286823 (+624779)
SEPT9	cg23541975 (-134307), cg00618183 (-133891), cg02807192 (+246620), cg26335251 (+262430), cg14652587 (+415080)
SERINC3	cg03472313 (+753)
SERPINE3	cg10583144 (-119487)
SESN3	cg21502154 (+1208), cg26773791 (+81118)
SETMAR	cg18034501 (-301825)
SF1	cg03419136 (-1706)
SF3A3	cg18451016 (-5288), cg17077180 (-5095), cg09847153 (-4948)
SFRP2	cg01450725 (-4581)
SFT2D2	cg12427162 (+3243)
SGCE	cg07921535 (-476)
SGCG	cg26087651 (-918736)
SGIP1	cg23045908 (-200545)
SGK1	cg02904344 (+140216)
SGPP2	cg10091265 (-904)
SH2D3A	cg14794041 (-561)
SH2D4A	cg19414122 (-274496), cg25627341 (-178555)
SH3PXD2A	cg23901918 (+194416)
SH3RF3	cg00361155 (-94045), cg25308803 (+739), cg04286823 (+1007)
SH3YL1	cg26398848 (+505)
SHANK1	cg09284949 (+30015), cg11284196 (+30147), cg20748533 (+30219), cg13536060 (+30523)
SHANK2	cg25885280 (+98205), cg16944941 (+467025)
SHISA2	cg11787508 (-136169)
SHISA8	cg24712290 (+4951)
SHKBP1	cg17119849 (-64312)
SIGIRR	cg14897765 (+8483)
SIGLEC14	cg14740251 (+9956)
SIGLEC5	cg14740251 (-6510)
SIGLEC9	cg14595786 (-1178)
SIGLECL1	cg15497724 (+13414), cg01718065 (+13466), cg14884932 (+13488), cg14724749 (+13629)
SIL1	cg04439458 (+66493)
SIM1	cg08298351 (-4112)
SIT1	cg07116010 (+4611)
SIX2	cg15679981 (-379860), cg16240781 (+2189), cg04364219 (+2428), cg16198908 (+44361)
SIX3	cg25149238 (-138517), cg16198908 (+23306), cg04364219 (+65239), cg16240781 (+65478)
SKAP2	cg20307885 (-225729), cg24421397 (+415887)
SKIDA1	cg11936560 (+125812)
SKIV2L	cg08810053 (-784)
SKP1	cg03183936 (-47900), cg08063911 (+61254)
SLC12A5	cg23303369 (-9167), cg12458970 (+6044)
SLC12A7	cg22158992 (+90318)
SLC16A6	cg11879514 (+224)
SLC16A8	cg06876311 (-33)
SLC17A7	cg04378167 (-136)
SLC18A2	cg15225091 (+987)
SLC1A3	cg08897844 (-354)
SLC22A8	cg21062347 (-233)
SLC24A1	cg12790698 (-3140)
SLC24A2	cg14633398 (-2458)
SLC24A5	cg05372679 (-348438)
SLC25A15	cg09117688 (+132991)
SLC25A2	cg27320005 (-156)
SLC25A3	cg01808879 (-76066), cg16871561 (-515)
SLC26A5	cg17713912 (-363270)
SLC26A9	cg13172432 (-255)
SLC29A2	cg23250019 (+818), cg18002602 (+841)
SLC2A1	cg12656391 (-656)
SLC2A12	cg02904344 (-125206)
SLC2A7	cg20822540 (+16276)
SLC30A9	cg12853184 (+805)
SLC32A1	cg17142870 (-77732)
SLC34A3	cg13716321 (+4928)
SLC35C2	cg01385679 (-41343)
